2;0;0;
3;287;254;
6;270;775;
4;757;1290;
6;1865;1669;
5;2345;811;
3;2388;173;
6;1022;1011;
6;1052;226;
24;1329;622;
24;76;2004;
24;2576;1973;
24;2249;1236;
24;833;1954;
8;560;2053;
8;625;1999;
8;450;1973;
8;528;1913;
8;620;1875;
8;377;2061;
8;369;1896;
8;292;1972;
8;222;1879;
8;707;2060;
8;1023;2060;
8;1100;1994;
8;1173;2051;
8;1255;2010;
8;1178;1932;
8;1085;1854;
8;2687;1786;
8;2612;1792;
8;2530;1816;
8;2456;1860;
8;2462;1725;
8;2548;1681;
8;2634;1672;
8;2379;1815;
8;2387;1944;
8;2308;1882;
8;2472;1987;
8;2137;1326;
8;2073;1390;
8;2203;1405;
8;2295;1410;
8;2361;1404;
8;2430;1403;
8;2468;1298;
8;2513;1413;
8;2066;1245;
8;2147;1206;
8;2418;1190;
8;2500;1180;
8;2542;1306;
8;1238;477;
8;1308;473;
8;1378;463;
8;1454;446;
8;1505;554;
8;1544;447;
8;1592;575;
8;1537;682;
8;1622;690;
8;1572;804;
8;1479;796;
8;1391;812;
8;1313;806;
8;1238;786;
8;1167;550;
10;304;1078;
9;333;1153;
11;406;1082;
9;433;1771;
11;479;1835;
10;538;1787;
10;1664;2099;
9;1727;2035;
11;1774;2106;
11;2640;1484;
9;2699;1489;
10;2657;1549;
10;1780;939;
9;1732;984;
11;1830;990;
11;2025;407;
9;1965;463;
10;2039;444;
10;914;90;
9;977;99;
11;944;139;
11;434;542;
9;451;491;
10;487;541;
10;1352;1549;
9;1402;1505;
11;1432;1566;
