1;0;0;
3;225;138;
6;257;438;
3;680;237;
3;683;740;
3;1864;916;
3;1480;1849;
3;273;1762;
6;2298;107;
6;2006;541;
6;1277;481;
6;961;1342;
6;2381;1298;
3;2064;1922;
12;483;674;
12;1000;503;
12;235;969;
12;762;1068;
12;1471;918;
12;1162;704;
12;1790;460;
12;1473;230;
12;1951;88;
12;2525;458;
12;2689;101;
12;2195;875;
12;2678;1145;
12;2000;1302;
12;2347;1641;
12;1900;1831;
12;2596;1929;
12;1254;1938;
12;1504;1643;
12;961;1805;
12;731;1978;
12;524;1664;
12;402;2002;
12;137;1435;
12;1308;1178;
12;125;335;
12;660;479;
12;1092;1021;
12;489;1238;
